"SID = Personal ID",,,,
"CID = Customer ID",,,,
"BID = Borrow ID",,,,
"ISBN = International Standard Book Number",,,,
"CID",,,,
"CID", "FName", "LName","PhoneNbr", "Email"
"CUST001","Emma","Andersson",12345,"emma.andersson@gmail.com"
  "CUST002","Oscar","Nilsson",32215,"oscar.nilsson@hotmail.com"
  "CUST003","Sofia","Karlsson",18273,"sofia.karlsson@yahoo.com"
  "CUST004","Lucas","Eriksson",34421,"lucas.eriksson@gmail.com"
  "CUST005","Alice","Johansson",62346,"alice.johansson@gmail.com"
  "CUST006","William","Lindström",12345,"william.lindstrom@gmail.com"
  "CUST007","Julia","Persson",56231,"julia.persson@hotmail.com"
  "CUST008","Elias","Gustafsson",56623,"elias.gustafsson@yahoo.com"
  "CUST009","Klara","Berg",12435,"klara.berg@gmail.com"
  "CUST010","Liam","Svensson",63421,"liam.svensson@hotmail.com"
  "CUST011","Moa","Bergström",72354,"moa.bergstrom@gmail.com"
  "CUST012","Hugo","Andersson",23465,"hugo.andersson@yahoo.com"
  "CUST013","Alva","Lindgren",23623,"alva.lindgren@gmail.com"
  "CUST014","Noah","Sjöberg",62345,"noah.sjoberg@hotmail.com"
  "CUST015","Wilma","Holm",63242,"wilma.holm@yahoo.com"
  "CUST016","Ebba","Ahlström",23456,"ebba.ahlstrom@gmail.com"
  "CUST017","Isak","Ek",34562,"isak.ek@hotmail.com"
  "CUST018","Ella","Lundgren",73452,"ella.lundgren@gmail.com"
  "CUST019","Filip","Öberg",45657,"filip.oberg@yahoo.com"
  "CUST020","Vera","Åberg",23835,"vera.aberg@hotmail.com"
  "CUST021","Oliver","Nyström",53426,"oliver.nystrom@gmail.com"
  "CUST022","Saga","Norberg",23477,"saga.norberg@yahoo.com"
  "CUST023","Axel","Bergman",34527,"axel.bergman@gmail.com"
  "CUST024","Elsa","Sundqvist",23472,"elsa.sundqvist@hotmail.com"
  "CUST025","Gabriel","Hellström",84523,"gabriel.hellstrom@gmail.com"
  "CUST026","Molly","Lundqvist",97865,"molly.lundqvist@yahoo.com"
  "CUST027","Melvin","Ekström",65783,"melvin.ekstrom@gmail.com"
  "CUST028","Nova","Håkansson",87563,"nova.hakansson@hotmail.com"
  "CUST029","Vincent","Söderberg",86532,"vincent.soderberg@gmail.com"
  "CUST030","Ellen","Nyberg",85623,"ellen.nyberg@yahoo.com"
  "CUST031","Liam","Holmgren",58645,"liam.holmgren@gmail.com"
  "CUST032","Astrid","Lindqvist",82675,"astrid.lindqvist@hotmail.com"
  "CUST033","Adam","Månsson",25347,"adam.mansson@gmail.com"
  "CUST034","Molly","Jonsson",45769,"molly.jonsson@yahoo.com"
  "CUST035","Nils","Pålsson",23458,"nils.palsson@gmail.com"
  "CUST036","Alice","Ekman",43562,"alice.ekman@hotmail.com"
  "CUST037","Elias","Sandberg",87634,"elias.sandberg@gmail.com"
  "CUST038","Saga","Dahlberg",97234,"saga.dahlberg@yahoo.com"
  "CUST039","Elvira","Bergqvist",75653,"elvira.bergqvist@gmail.com"
  "CUST040","William","Engström",65434,"william.engstrom@hotmail.com"
  "CUST041","Ida","Larsson",34568,"ida.larsson@yahoo.com"
  "CUST042","Hugo","Lund",97632,"hugo.lund@gmail.com"
  "CUST043","Julia","Strömberg",24894,"julia.stromberg@hotmail.com"
  "CUST044","Liam","Åkesson",98764,"liam.akesson@gmail.com"
  "CUST045","Maja","Forsberg",23465,"maja.forsberg@yahoo.com"
  "CUST046","Max","Eklund",98349,"max.eklund@gmail.com"
  "CUST047","Elsa","Sjögren",92393,"elsa.sjogren@hotmail.com"
"Staff",,,,
"SID","Fname","Lname","Phone nbr","email"
"LIB001","Anna","Andersson",98672,"anna.anderssoon@biblioteket.se"
"LIB002","David","Nilsson",23958,"david.nilsson@biblioteket.se"
"LIB003","Linda","Johansson",94834,"linda.johansson@biblioteket.se"
"LIB004","Erik","Svensson",23285,"erik.svensson@biblioteket.se"
"LIB005","Sara","Karlsson",23895,"sara.karlsson@biblioteket.se"
